num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time
500,10,greedy,30,34.098360776901245,1,51200.28194215044
500,10,greedy,30,34.098360776901245,2,51200.28197012024
500,10,greedy,30,34.098360776901245,3,51200.282034106545
500,10,greedy,30,34.098360776901245,4,51200.28214477578
500,10,greedy,30,34.098360776901245,5,51200.28225200966
500,10,greedy,30,34.098360776901245,6,51200.28236191649
500,10,greedy,30,34.098360776901245,7,51200.28248331376
500,10,greedy,30,34.098360776901245,8,51200.2826095727
500,10,greedy,30,34.098360776901245,9,51200.282732940126
500,10,greedy,30,34.098360776901245,10,51200.28286656995
500,10,greedy,30,34.098360776901245,11,51200.28306229645
500,10,greedy,30,34.098360776901245,12,51200.283218870165
500,10,greedy,30,34.098360776901245,13,51200.28335249282
500,10,greedy,30,34.098360776901245,14,51200.28349611997
500,10,greedy,30,34.098360776901245,15,51200.28362546793
500,10,greedy,30,34.098360776901245,16,51200.28371612503
500,10,greedy,30,34.098360776901245,17,51200.283791907204
500,10,greedy,30,34.098360776901245,18,51200.28386671974
500,10,greedy,30,34.098360776901245,19,51200.28395367331
500,10,greedy,30,34.098360776901245,20,51200.284036182005
500,10,greedy,30,34.098360776901245,21,51200.28416969144
500,10,greedy,30,34.098360776901245,22,51200.28430871372
500,10,greedy,30,34.098360776901245,23,51200.28445533886
500,10,greedy,30,34.098360776901245,24,51200.28462198538
500,10,greedy,30,34.098360776901245,25,51200.28478867845
500,10,greedy,30,34.098360776901245,26,51200.28495970436
500,10,greedy,30,34.098360776901245,27,51200.28515544766
500,10,greedy,30,34.098360776901245,28,51200.28536696032
500,10,greedy,30,34.098360776901245,29,51200.28558161256
500,10,greedy,30,34.098360776901245,30,51200.28577612169
500,10,convex optimization,30,54.566667795181274,1,51200.3632377017
500,10,convex optimization,30,54.566667795181274,2,51200.362967198525
500,10,convex optimization,30,54.566667795181274,3,51200.36311485805
500,10,convex optimization,30,54.566667795181274,4,51200.36299609549
500,10,convex optimization,30,54.566667795181274,5,51200.36320196687
500,10,convex optimization,30,54.566667795181274,6,51200.363402760224
500,10,convex optimization,30,54.566667795181274,7,51200.36425579471
500,10,convex optimization,30,54.566667795181274,8,51200.30690086239
500,10,convex optimization,30,54.566667795181274,9,51200.36388115999
500,10,convex optimization,30,54.566667795181274,10,51200.30721847921
500,10,convex optimization,30,54.566667795181274,11,51200.30744374207
500,10,convex optimization,30,54.566667795181274,12,51200.307620483356
500,10,convex optimization,30,54.566667795181274,13,51200.30777403199
500,10,convex optimization,30,54.566667795181274,14,51200.30795082942
500,10,convex optimization,30,54.566667795181274,15,51200.30811622431
500,10,convex optimization,30,54.566667795181274,16,51200.63304895406
500,10,convex optimization,30,54.566667795181274,17,51200.63371725001
500,10,convex optimization,30,54.566667795181274,18,51200.6346339612
500,10,convex optimization,30,54.566667795181274,19,51200.30878230698
500,10,convex optimization,30,54.566667795181274,20,51200.30895964927
500,10,convex optimization,30,54.566667795181274,21,51200.309164954226
500,10,convex optimization,30,54.566667795181274,22,51200.30939903919
500,10,convex optimization,30,54.566667795181274,23,51200.30963364289
500,10,convex optimization,30,54.566667795181274,24,51200.30987339789
500,10,convex optimization,30,54.566667795181274,25,51200.31011826902
500,10,convex optimization,30,54.566667795181274,26,51200.31037401602
500,10,convex optimization,30,54.566667795181274,27,51200.359484942885
500,10,convex optimization,30,54.566667795181274,28,51200.31090810045
500,10,convex optimization,30,54.566667795181274,29,51200.31118614297
500,10,convex optimization,30,54.566667795181274,30,51200.31146305722
500,20,greedy,30,32.6348774433136,1,51200.2034145912
500,20,greedy,30,32.6348774433136,2,51200.20351713596
500,20,greedy,30,32.6348774433136,3,51200.2036295707
500,20,greedy,30,32.6348774433136,4,51200.20378712506
500,20,greedy,30,32.6348774433136,5,51200.20396924479
500,20,greedy,30,32.6348774433136,6,51200.2041329409
500,20,greedy,30,32.6348774433136,7,51200.20426756662
500,20,greedy,30,32.6348774433136,8,51200.20440948862
500,20,greedy,30,32.6348774433136,9,51200.20456842804
500,20,greedy,30,32.6348774433136,10,51200.20470046763
500,20,greedy,30,32.6348774433136,11,51200.204848161746
500,20,greedy,30,32.6348774433136,12,51200.20498871351
500,20,greedy,30,32.6348774433136,13,51200.205125679364
500,20,greedy,30,32.6348774433136,14,51200.205243312186
500,20,greedy,30,32.6348774433136,15,51200.20533721167
500,20,greedy,30,32.6348774433136,16,51200.205413415075
500,20,greedy,30,32.6348774433136,17,51200.205506714905
500,20,greedy,30,32.6348774433136,18,51200.20564286809
500,20,greedy,30,32.6348774433136,19,51200.20582202059
500,20,greedy,30,32.6348774433136,20,51200.20597995873
500,20,greedy,30,32.6348774433136,21,51200.20617290869
500,20,greedy,30,32.6348774433136,22,51200.20636458275
500,20,greedy,30,32.6348774433136,23,51200.20654992732
500,20,greedy,30,32.6348774433136,24,51200.206770827936
500,20,greedy,30,32.6348774433136,25,51200.20701042089
500,20,greedy,30,32.6348774433136,26,51200.2072682202
500,20,greedy,30,32.6348774433136,27,51200.207540554984
