num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time
400,10,greedy,30,33.25474238395691,1,40960.224303086026
400,10,greedy,30,33.25474238395691,2,40960.224120538216
400,10,greedy,30,33.25474238395691,3,40960.22396011728
400,10,greedy,30,33.25474238395691,4,40960.22381461933
400,10,greedy,30,33.25474238395691,5,40960.223681616466
400,10,greedy,30,33.25474238395691,6,40960.22354991336
400,10,greedy,30,33.25474238395691,7,40960.2233979591
400,10,greedy,30,33.25474238395691,8,40960.22328274698
400,10,greedy,30,33.25474238395691,9,40960.22317707866
400,10,greedy,30,33.25474238395691,10,40960.223076396076
400,10,greedy,30,33.25474238395691,11,40960.223002839084
400,10,greedy,30,33.25474238395691,12,40960.22294693666
400,10,greedy,30,33.25474238395691,13,40960.222860591224
400,10,greedy,30,33.25474238395691,14,40960.22277034599
400,10,greedy,30,33.25474238395691,15,40960.22271440727
400,10,greedy,30,33.25474238395691,16,40960.22263725767
400,10,greedy,30,33.25474238395691,17,40960.22259389104
400,10,greedy,30,33.25474238395691,18,40960.22256362474
400,10,greedy,30,33.25474238395691,19,40960.222544284195
400,10,greedy,30,33.25474238395691,20,40960.22250188315
400,10,greedy,30,33.25474238395691,21,40960.222456402575
400,10,greedy,30,33.25474238395691,22,40960.222421342696
400,10,greedy,30,33.25474238395691,23,40960.22239848733
400,10,greedy,30,33.25474238395691,24,40960.222376865284
400,10,greedy,30,33.25474238395691,25,40960.22234410279
400,10,greedy,30,33.25474238395691,26,40960.22229710321
400,10,greedy,30,33.25474238395691,27,40960.22225919346
400,10,greedy,30,33.25474238395691,28,40960.22221274899
400,10,greedy,30,33.25474238395691,29,40960.22217906904
400,10,greedy,30,33.25474238395691,30,40960.222158323595
400,10,convex optimization,30,66.00328636169434,1,40960.24910986214
400,10,convex optimization,30,66.00328636169434,2,40960.24908497702
400,10,convex optimization,30,66.00328636169434,3,40960.24940837144
400,10,convex optimization,30,66.00328636169434,4,40960.24849044561
400,10,convex optimization,30,66.00328636169434,5,40960.24864088306
400,10,convex optimization,30,66.00328636169434,6,40960.24853771396
400,10,convex optimization,30,66.00328636169434,7,40960.249160986525
400,10,convex optimization,30,66.00328636169434,8,40960.24938816046
400,10,convex optimization,30,66.00328636169434,9,40960.24940118197
400,10,convex optimization,30,66.00328636169434,10,40960.24890187525
400,10,convex optimization,30,66.00328636169434,11,40960.24927871651
400,10,convex optimization,30,66.00328636169434,12,40960.24988697867
400,10,convex optimization,30,66.00328636169434,13,40960.249318746435
400,10,convex optimization,30,66.00328636169434,14,40960.24981881242
400,10,convex optimization,30,66.00328636169434,15,40960.249813533774
400,10,convex optimization,30,66.00328636169434,16,40960.2501973463
400,10,convex optimization,30,66.00328636169434,17,40960.25087309687
400,10,convex optimization,30,66.00328636169434,18,40960.25138816481
400,10,convex optimization,30,66.00328636169434,19,40960.25113104434
400,10,convex optimization,30,66.00328636169434,20,40960.2507948024
400,10,convex optimization,30,66.00328636169434,21,40960.250936835866
400,10,convex optimization,30,66.00328636169434,22,40960.25101834483
400,10,convex optimization,30,66.00328636169434,23,40960.25015094667
400,10,convex optimization,30,66.00328636169434,24,40960.249801592894
400,10,convex optimization,30,66.00328636169434,25,40960.24948925835
400,10,convex optimization,30,66.00328636169434,26,40960.24952752244
400,10,convex optimization,30,66.00328636169434,27,40960.24827865575
400,10,convex optimization,30,66.00328636169434,28,40960.248015828874
400,10,convex optimization,30,66.00328636169434,29,40960.24810765553
400,10,convex optimization,30,66.00328636169434,30,40960.24822596625
400,20,greedy,30,32.821892738342285,1,40960.17656251888
400,20,greedy,30,32.821892738342285,2,40960.17642212306
400,20,greedy,30,32.821892738342285,3,40960.17626319824
400,20,greedy,30,32.821892738342285,4,40960.17610898497
400,20,greedy,30,32.821892738342285,5,40960.17596970106
400,20,greedy,30,32.821892738342285,6,40960.17586558913
400,20,greedy,30,32.821892738342285,7,40960.17573215176
400,20,greedy,30,32.821892738342285,8,40960.17560666051
400,20,greedy,30,32.821892738342285,9,40960.17547788291
400,20,greedy,30,32.821892738342285,10,40960.17537296385
400,20,greedy,30,32.821892738342285,11,40960.175276398506
400,20,greedy,30,32.821892738342285,12,40960.175186758985
400,20,greedy,30,32.821892738342285,13,40960.1750856556
