num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
100,10,predictive,100,125.94280815124512,1,11967.57023265424,0.0,0.0,11967.57023265424,100,0,100,37.8443,61.7451,10.24,0.0,109.8294,0.030508,109.8294
100,10,predictive,100,125.94280815124512,2,11965.599586719527,0.0,0.0,11965.599586719527,100,0,100,37.8443,61.7451,10.24,0.0,109.8294,0.030508,109.8294
100,10,predictive,100,125.94280815124512,3,11970.637307141998,0.0,0.0,11970.637307141998,100,0,100,37.8443,61.7451,10.24,0.0,109.8294,0.030508,109.8294
100,10,predictive,100,125.94280815124512,4,11973.689506418628,0.0,0.0,11973.689506418628,100,0,100,37.8443,61.7451,10.24,0.0,109.8294,0.030508,109.8294
100,10,predictive,100,125.94280815124512,5,142625.74320725992,0.0,142625.74320725992,0.0,0,100,0,37.8443,1.0753,30.72,85.7623,155.4019,0.043167,155.4019
100,10,predictive,100,125.94280815124512,6,142629.7909496962,0.0,142629.7909496962,0.0,0,100,0,37.8443,1.0753,30.72,85.7623,155.4019,0.043167,155.4019
100,10,predictive,100,125.94280815124512,7,142629.83722632533,0.0,142629.83722632533,0.0,0,100,0,37.8443,1.0753,30.72,85.7623,155.4019,0.043167,155.4019
100,10,predictive,100,125.94280815124512,8,142637.890463127,0.0,142637.890463127,0.0,0,100,0,37.8443,1.0753,30.72,85.7623,155.4019,0.043167,155.4019
100,10,predictive,100,125.94280815124512,9,142642.94617049184,0.0,142642.94617049184,0.0,0,100,0,37.8443,0.1737,30.72,85.7623,154.5003,0.042917,154.5003
100,10,predictive,100,125.94280815124512,10,41997.992552871874,41997.992552871874,0.0,0.0,100,0,0,37.8443,60.8435,10.24,0.0,108.9278,0.030258,108.9278
100,10,predictive,100,125.94280815124512,11,41996.03691285882,41996.03691285882,0.0,0.0,100,0,0,37.8443,60.8435,10.24,0.0,108.9278,0.030258,108.9278
100,10,predictive,100,125.94280815124512,12,42000.08534386619,42000.08534386619,0.0,0.0,100,0,0,37.8443,60.8435,10.24,0.0,108.9278,0.030258,108.9278
