num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
1000,200,predictive,100,203.55191445350647,1,118420.92053193953,0.0,0.0,118420.92053193953,1000,0,1000,538.2226,630.9767,102.4,0.0,1271.5992,0.353222,1271.5992
1000,200,predictive,100,203.55191445350647,2,118422.25096499715,0.0,0.0,118422.25096499715,1000,0,1000,538.2226,630.6974,102.4,0.0,1271.3199,0.353144,1271.3199
1000,200,predictive,100,203.55191445350647,3,118438.96586849827,0.0,0.0,118438.96586849827,1000,0,1000,538.2226,628.7364,102.4,0.0,1269.359,0.3526,1269.359
1000,200,predictive,100,203.55191445350647,4,118479.83490491543,0.0,0.0,118479.83490491543,1000,0,1000,538.2226,626.1699,102.4,0.0,1266.7925,0.351887,1266.7925
1000,200,predictive,100,203.55191445350647,5,1465979.6216672338,0.0,1465979.6216672338,0.0,0,1000,0,538.2226,13.0789,307.2,857.6234,1716.1249,0.476701,1716.1249
1000,200,predictive,100,203.55191445350647,6,1466016.3624143251,0.0,1466016.3624143251,0.0,0,1000,0,538.2226,13.0789,307.2,857.6234,1716.1249,0.476701,1716.1249
1000,200,predictive,100,203.55191445350647,7,1466071.1263707592,0.0,1466071.1263707592,0.0,0,1000,0,538.2226,12.8066,307.2,857.6234,1715.8525,0.476626,1715.8525
1000,200,predictive,100,203.55191445350647,8,1466112.9547234199,0.0,1466112.9547234199,0.0,0,1000,0,538.2226,11.6349,307.2,857.6234,1714.6809,0.4763,1714.6809
1000,200,predictive,100,203.55191445350647,9,1466175.821205327,0.0,1466175.821205327,0.0,0,1000,0,538.2226,10.3154,307.2,857.6234,1713.3613,0.475934,1713.3613
1000,200,predictive,100,203.55191445350647,10,418771.52198315965,418771.52198315965,0.0,0.0,1000,0,0,538.2226,615.6799,102.4,0.0,1256.3025,0.348973,1256.3025
1000,200,predictive,100,203.55191445350647,11,418808.12559947115,418808.12559947115,0.0,0.0,1000,0,0,538.2226,615.5025,102.4,0.0,1256.1251,0.348924,1256.1251
1000,200,predictive,100,203.55191445350647,12,418856.7184457123,418856.7184457123,0.0,0.0,1000,0,0,538.2226,615.3774,102.4,0.0,1255.9999,0.348889,1255.9999
1000,200,predictive,100,203.55191445350647,13,418901.3139875004,418901.3139875004,0.0,0.0,1000,0,0,538.2226,615.7077,102.4,0.0,1256.3303,0.348981,1256.3303
1000,200,predictive,100,203.55191445350647,14,418941.9399325049,418941.9399325049,0.0,0.0,1000,0,0,538.2226,615.9574,102.4,0.0,1256.5799,0.34905,1256.5799
1000,200,predictive,100,203.55191445350647,15,418978.4488126372,418978.4488126372,0.0,0.0,1000,0,0,538.2226,615.9574,102.4,0.0,1256.5799,0.34905,1256.5799
1000,200,predictive,100,203.55191445350647,16,418999.89020061085,418999.89020061085,0.0,0.0,1000,0,0,538.2226,615.698,102.4,0.0,1256.3206,0.348978,1256.3206
1000,200,predictive,100,203.55191445350647,17,419035.33783969685,419035.33783969685,0.0,0.0,1000,0,0,538.2226,616.079,102.4,0.0,1256.7015,0.349084,1256.7015
1000,200,predictive,100,203.55191445350647,18,419069.8216393589,419069.8216393589,0.0,0.0,1000,0,0,538.2226,615.9829,102.4,0.0,1256.6055,0.349057,1256.6055
1000,200,predictive,100,203.55191445350647,19,419098.31423540955,419098.31423540955,0.0,0.0,1000,0,0,538.2226,615.8651,102.4,0.0,1256.4877,0.349024,1256.4877
