num_users,num_edges,algorithm,seed,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,warm_rate,rejected_count,pool_evictions,pool_utilization_avg,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
100,10,greedy,11,300,320.171756029129,1,12006.079268040801,0.0,0.0,12006.079268040801,100,0,100,120.06079268040801,120.43378089525605,121.44502527486803,121.44831055001515,0.0,0,0,0.0,37.8443,194.7817,10.24,0.0,242.8659,0.067463,242.8659
100,10,greedy,11,300,320.171756029129,2,12413.714562124564,0.0,0.0,12413.714562124564,100,0,100,124.13714562124564,120.43418279815918,121.44831055001515,222.8411269919983,0.0,0,0,0.0,37.8443,194.7817,10.24,0.0,242.8659,0.067463,242.8659
100,10,greedy,11,300,320.171756029129,3,12313.323046224192,0.0,0.0,12313.323046224192,100,0,100,123.13323046224191,120.43447434058453,121.4481968522918,223.84611595977847,0.0,0,0,0.0,37.8443,194.7817,10.24,0.0,242.8659,0.067463,242.8659
100,10,greedy,11,300,320.171756029129,4,12007.121353434597,0.0,0.0,12007.121353434597,100,0,100,120.07121353434597,120.4338619159237,121.44502527486803,121.44831055001515,0.0,0,0,0.0,37.8443,194.7817,10.24,0.0,242.8659,0.067463,242.8659
100,10,greedy,11,300,320.171756029129,5,147208.92609556162,0.0,147208.92609556162,0.0,0,100,0,1472.0892609556163,1470.4345092057426,1471.4472906221486,1571.829907004472,0.0,0,0,0.0,37.8443,0.0,30.72,805.5046,874.0689,0.242797,874.0689
100,10,greedy,11,300,320.171756029129,6,147312.3398764821,0.0,147312.3398764821,0.0,0,100,0,1473.1233987648209,1470.434917002249,1471.4481968522919,1572.8405618218944,0.0,0,0,0.0,37.8443,0.0,30.72,805.5046,874.0689,0.242797,874.0689
100,10,greedy,11,300,320.171756029129,7,147518.1451799643,0.0,147518.1451799643,0.0,0,100,0,1475.1814517996431,1470.4352164829265,1471.4489550686676,1572.842246238874,0.0,0,0,0.0,37.8443,0.0,30.72,805.5046,874.0689,0.242797,874.0689
100,10,greedy,11,300,320.171756029129,8,147211.9477679304,0.0,147211.9477679304,0.0,0,100,0,1472.119477679304,1470.434917002249,1471.4472906221486,1572.8413216234158,0.0,0,0,0.0,37.8443,0.0,30.72,805.5046,874.0689,0.242797,874.0689
100,10,greedy,11,300,320.171756029129,9,147010.15639470707,0.0,147010.15639470707,0.0,0,100,0,1470.1015639470706,1470.435074110483,1471.445134686361,1471.448310550015,0.0,0,0,0.0,37.8443,0.0,30.72,805.5046,874.0689,0.242797,874.0689
100,10,greedy,11,300,320.171756029129,10,52717.968895276535,37810.8300496589,14907.138845617645,0.0,90,10,0,527.1796889527653,420.43518693437534,1470.4379039228531,1572.8304321782841,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,11,52715.98454727726,37809.85650418255,14906.12804309472,0.0,90,10,0,527.1598454727725,420.43541933496203,1470.4379039228531,1572.8300596504973,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,12,52817.40146560167,38015.683893784895,14801.717571816784,0.0,90,10,0,528.1740146560168,420.43611433889004,1470.43126950553,1470.4411328243837,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,13,52715.01420493721,38015.703303175134,14699.310901762085,0.0,90,10,0,527.1501420493721,420.43635901741834,1470.4304136402004,1470.4403070816866,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,14,52714.020917083566,38015.711303124895,14698.309613958709,0.0,90,10,0,527.1402091708356,420.43622105243935,1469.4291217383266,1470.4395333497603,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,15,52611.62151599833,37806.862539934584,14804.758976063744,0.0,90,10,0,526.1162151599833,420.43635901741834,1470.4385673745708,1471.447528593087,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,16,52919.83115430485,38115.07771500386,14804.753439300972,0.0,90,10,0,529.1983115430485,420.4373972070626,1470.4382660750098,1470.4433358141662,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,17,52609.63836767317,37908.289571758505,14701.348795914666,0.0,90,10,0,526.0963836767318,420.4372665324917,1470.4378121944046,1470.4431642429556,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,18,52715.04858298866,37911.30219165054,14803.74639133811,0.0,90,10,0,527.1504858298866,420.4379039228532,1470.4368056308626,1470.443032081322,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,19,52716.05630283807,38014.712370117864,14701.343932720187,0.0,90,10,0,527.1605630283807,420.4379039228532,1470.4359203304796,1470.4429396931562,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,20,52717.05370627082,37809.91435853733,14907.13934773348,0.0,90,10,0,527.1705370627081,420.4373972070626,1470.4392278042635,1571.8286686826295,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,21,52718.058480234264,37914.32851264997,14803.729967584273,0.0,90,10,0,527.1805848023427,420.4375610342038,1470.4359714290779,1471.445623400918,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,22,52919.86832433496,38220.544174541326,14699.324149793645,0.0,90,10,0,529.1986832433496,420.4379039228532,1470.434837582454,1470.4446149848675,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,23,52616.66325500344,37915.3475203987,14701.315734604734,0.0,90,10,0,526.1666325500344,420.4379039228532,1470.4343349627177,1470.4436095625872,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,24,52615.66714911354,37914.349324628995,14701.317824484548,0.0,90,10,0,526.1566714911354,420.4378540156397,1470.4336637116157,1470.4426073460136,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,25,52718.050990923424,37810.89915260618,14907.151838317253,0.0,90,10,0,527.1805099092343,420.43635901741834,1470.4356628352584,1572.841011815517,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
100,10,greedy,11,300,320.171756029129,26,52515.228014167995,37813.88729335874,14701.340720809252,0.0,90,10,0,525.15228014168,420.43635901741834,1470.4354318284354,1470.4449434426049,0.9,0,0,0.0,37.8443,175.3035,12.288,80.5505,305.9862,0.084996,305.9862
