num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
100,10,predictive,100,115.60929942131042,1,15045.140465308481,0.0,0.0,15045.140465308481,100,0,100,37.8443,61.7033,10.24,0.0,109.7876,0.030497,109.7876
100,10,predictive,100,115.60929942131042,2,15045.19917343905,0.0,0.0,15045.19917343905,100,0,100,37.8443,61.3305,10.24,0.0,109.4147,0.030393,109.4147
100,10,predictive,100,115.60929942131042,3,15045.274614283995,0.0,0.0,15045.274614283995,100,0,100,37.8443,61.3305,10.24,0.0,109.4147,0.030393,109.4147
100,10,predictive,100,115.60929942131042,4,15045.379012837257,0.0,0.0,15045.379012837257,100,0,100,37.8443,61.1716,10.24,0.0,109.2558,0.030349,109.2558
100,10,predictive,100,115.60929942131042,5,145695.48641451984,0.0,145695.48641451984,0.0,0,100,0,37.8443,0.0294,30.72,85.7623,154.356,0.042877,154.356
100,10,predictive,100,115.60929942131042,6,145695.58189939268,0.0,145695.58189939268,0.0,0,100,0,37.8443,0.0294,30.72,85.7623,154.356,0.042877,154.356
100,10,predictive,100,115.60929942131042,7,145695.67445265077,0.0,145695.67445265077,0.0,0,100,0,37.8443,0.0462,30.72,85.7623,154.3728,0.042881,154.3728
100,10,predictive,100,115.60929942131042,8,145695.780926254,0.0,145695.780926254,0.0,0,100,0,37.8443,0.1472,30.72,85.7623,154.4738,0.042909,154.4738
100,10,predictive,100,115.60929942131042,9,145695.89234098382,0.0,145695.89234098382,0.0,0,100,0,37.8443,0.1472,30.72,85.7623,154.4738,0.042909,154.4738
100,10,predictive,100,115.60929942131042,10,45045.98510574375,45045.98510574375,0.0,0.0,100,0,0,37.8443,60.7963,10.24,0.0,108.8805,0.030245,108.8805
100,10,predictive,100,115.60929942131042,11,45046.073825717634,45046.073825717634,0.0,0.0,100,0,0,37.8443,60.6993,10.24,0.0,108.7836,0.030218,108.7836
100,10,predictive,100,115.60929942131042,12,45046.170687732345,45046.170687732345,0.0,0.0,100,0,0,37.8443,60.6993,10.24,0.0,108.7836,0.030218,108.7836
100,10,predictive,100,115.60929942131042,13,45046.27454645936,45046.27454645936,0.0,0.0,100,0,0,37.8443,60.7047,10.24,0.0,108.789,0.030219,108.789
100,10,predictive,100,115.60929942131042,14,45046.38836489978,45046.38836489978,0.0,0.0,100,0,0,37.8443,60.7128,10.24,0.0,108.797,0.030221,108.797
100,10,predictive,100,115.60929942131042,15,45046.47961949546,45046.47961949546,0.0,0.0,100,0,0,37.8443,60.7128,10.24,0.0,108.797,0.030221,108.797
100,10,predictive,100,115.60929942131042,16,45046.558801737,45046.558801737,0.0,0.0,100,0,0,37.8443,60.7228,10.24,0.0,108.807,0.030224,108.807
100,10,predictive,100,115.60929942131042,17,45046.65107642792,45046.65107642792,0.0,0.0,100,0,0,37.8443,60.7808,10.24,0.0,108.865,0.03024,108.865
100,10,predictive,100,115.60929942131042,18,45046.74408628588,45046.74408628588,0.0,0.0,100,0,0,37.8443,60.7808,10.24,0.0,108.865,0.03024,108.865
100,10,predictive,100,115.60929942131042,19,45046.839891240896,45046.839891240896,0.0,0.0,100,0,0,37.8443,60.7446,10.24,0.0,108.8288,0.03023,108.8288
100,10,predictive,100,115.60929942131042,20,45046.93211519566,45046.93211519566,0.0,0.0,100,0,0,37.8443,60.697,10.24,0.0,108.7813,0.030217,108.7813
100,10,predictive,100,115.60929942131042,21,45047.007245368724,45047.007245368724,0.0,0.0,100,0,0,37.8443,60.697,10.24,0.0,108.7813,0.030217,108.7813
