num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count,static_energy_j,dynamic_energy_j,network_energy_j,cold_start_energy_j,total_energy_j,total_energy_wh,average_power_w
100,10,predictive,300,326.30496430397034,32,45046.712226596275,45046.712226596275,0.0,0.0,100,0,0,378.4427,0.2994,10240.0,0.0,10618.742,2.949651,10618.742
100,10,predictive,300,326.30496430397034,33,45046.74320374497,45046.74320374497,0.0,0.0,100,0,0,378.4427,0.2994,10240.0,0.0,10618.742,2.949651,10618.742
100,10,predictive,300,326.30496430397034,34,45046.76839416155,45046.76839416155,0.0,0.0,100,0,0,378.4427,0.0341,10240.0,0.0,10618.4768,2.949577,10618.4768
100,10,predictive,300,326.30496430397034,35,45046.21691757079,45046.21691757079,0.0,0.0,100,0,0,378.4427,0.0341,10240.0,0.0,10618.4768,2.949577,10618.4768
100,10,predictive,300,326.30496430397034,36,45046.26646598186,45046.26646598186,0.0,0.0,100,0,0,378.4427,0.0341,10240.0,0.0,10618.4768,2.949577,10618.4768
100,10,predictive,300,326.30496430397034,37,45046.3420841158,45046.3420841158,0.0,0.0,100,0,0,378.4427,0.1138,10240.0,0.0,10618.5564,2.949599,10618.5564
100,10,predictive,300,326.30496430397034,38,45046.413149649314,45046.413149649314,0.0,0.0,100,0,0,378.4427,0.1138,10240.0,0.0,10618.5564,2.949599,10618.5564
100,10,predictive,300,326.30496430397034,39,45046.48707456814,45046.48707456814,0.0,0.0,100,0,0,378.4427,0.1138,10240.0,0.0,10618.5564,2.949599,10618.5564
100,10,predictive,300,326.30496430397034,40,45046.56108845583,45046.56108845583,0.0,0.0,100,0,0,378.4427,0.0537,10240.0,0.0,10618.4964,2.949582,10618.4964
100,10,predictive,300,326.30496430397034,41,45046.61485918902,45046.61485918902,0.0,0.0,100,0,0,378.4427,0.0537,10240.0,0.0,10618.4964,2.949582,10618.4964
100,10,predictive,300,326.30496430397034,42,45046.66666540997,45046.66666540997,0.0,0.0,100,0,0,378.4427,0.047,10240.0,0.0,10618.4897,2.94958,10618.4897
100,10,predictive,300,326.30496430397034,43,45046.72705966203,45046.72705966203,0.0,0.0,100,0,0,378.4427,0.052,10240.0,0.0,10618.4947,2.949582,10618.4947
100,10,predictive,300,326.30496430397034,44,45046.7975046239,45046.7975046239,0.0,0.0,100,0,0,378.4427,0.052,10240.0,0.0,10618.4947,2.949582,10618.4947
100,10,predictive,300,326.30496430397034,45,45046.33533109859,45046.33533109859,0.0,0.0,100,0,0,378.4427,0.1747,10240.0,0.0,10618.6174,2.949616,10618.6174
100,10,predictive,300,326.30496430397034,46,45046.36693475999,45046.36693475999,0.0,0.0,100,0,0,378.4427,0.1747,10240.0,0.0,10618.6174,2.949616,10618.6174
100,10,predictive,300,326.30496430397034,47,45046.399528121656,45046.399528121656,0.0,0.0,100,0,0,378.4427,0.1747,10240.0,0.0,10618.6174,2.949616,10618.6174
100,10,predictive,300,326.30496430397034,48,45046.42692887042,45046.42692887042,0.0,0.0,100,0,0,378.4427,0.0388,10240.0,0.0,10618.4815,2.949578,10618.4815
