num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time
100,10,predictive,50,147.93178629875183,1,10240.092434538346
100,10,predictive,50,147.93178629875183,2,10240.280004760607
100,10,predictive,50,147.93178629875183,3,10240.28319996307
100,10,predictive,50,147.93178629875183,4,115482.20074355854
100,10,predictive,50,147.93178629875183,5,174489.41309475852
100,10,predictive,50,147.93178629875183,6,233185.45615583178
100,10,predictive,50,147.93178629875183,7,294100.6078016818
100,10,predictive,50,147.93178629875183,8,247584.58547589323
100,10,predictive,50,147.93178629875183,9,246701.39597213033
100,10,predictive,50,147.93178629875183,10,247245.51980528503
100,10,predictive,50,147.93178629875183,11,244767.8781058113
100,10,predictive,50,147.93178629875183,12,246204.44459343803
100,10,predictive,50,147.93178629875183,13,248165.58547445244
100,10,predictive,50,147.93178629875183,14,248046.8563874149
100,10,predictive,50,147.93178629875183,15,247921.80764806332
100,10,predictive,50,147.93178629875183,16,247415.45786193662
100,10,predictive,50,147.93178629875183,17,245577.38352477137
100,10,predictive,50,147.93178629875183,18,247509.87074789772
100,10,predictive,50,147.93178629875183,19,248256.6972765444
100,10,predictive,50,147.93178629875183,20,248813.18459018608
100,10,predictive,50,147.93178629875183,21,249727.44474780755
100,10,predictive,50,147.93178629875183,22,247082.76884037745
100,10,predictive,50,147.93178629875183,23,247121.23266014794
100,10,predictive,50,147.93178629875183,24,245550.54121577367
100,10,predictive,50,147.93178629875183,25,247620.2773918298
100,10,predictive,50,147.93178629875183,26,248916.089099458
100,10,predictive,50,147.93178629875183,27,248299.83744477248
100,10,predictive,50,147.93178629875183,28,250817.72795799823
100,10,predictive,50,147.93178629875183,29,247962.51799833507
100,10,predictive,50,147.93178629875183,30,247502.02210911692
100,10,predictive,50,147.93178629875183,31,249472.34707267783
100,10,predictive,50,147.93178629875183,32,247354.60637334507
100,10,predictive,50,147.93178629875183,33,248572.45513203944
100,10,predictive,50,147.93178629875183,34,249252.7009658434
100,10,predictive,50,147.93178629875183,35,246935.55734488004
100,10,predictive,50,147.93178629875183,36,247988.7524362187
100,10,predictive,50,147.93178629875183,37,247459.44027767645
100,10,predictive,50,147.93178629875183,38,245984.70704577494
100,10,predictive,50,147.93178629875183,39,246071.65578074515
100,10,predictive,50,147.93178629875183,40,245917.72067590422
100,10,predictive,50,147.93178629875183,41,245153.68057960283
100,10,predictive,50,147.93178629875183,42,245230.2319894562
100,10,predictive,50,147.93178629875183,43,246289.69847201774
100,10,predictive,50,147.93178629875183,44,246417.2742837979
100,10,predictive,50,147.93178629875183,45,247476.58715448127
100,10,predictive,50,147.93178629875183,46,247491.57352365277
100,10,predictive,50,147.93178629875183,47,247771.26948936828
100,10,predictive,50,147.93178629875183,48,246909.79541019897
100,10,predictive,50,147.93178629875183,49,246624.51576034396
100,10,predictive,50,147.93178629875183,50,247511.78199536106
100,10,greedy,50,52.561025857925415,1,10240.075823371282
100,10,greedy,50,52.561025857925415,2,10240.075851696907
100,10,greedy,50,52.561025857925415,3,10240.075871462252
100,10,greedy,50,52.561025857925415,4,10240.075888795753
100,10,greedy,50,52.561025857925415,5,10240.075921591595
100,10,greedy,50,52.561025857925415,6,10240.075955211254
100,10,greedy,50,52.561025857925415,7,10240.0759854634
100,10,greedy,50,52.561025857925415,8,10240.076001032676
100,10,greedy,50,52.561025857925415,9,10240.076000924912
100,10,greedy,50,52.561025857925415,10,10240.075985221823
100,10,greedy,50,52.561025857925415,11,34393.733172895074
100,10,greedy,50,52.561025857925415,12,80551.40293889926
100,10,greedy,50,52.561025857925415,13,84459.16401991995
100,10,greedy,50,52.561025857925415,14,84459.16399924482
100,10,greedy,50,52.561025857925415,15,143494.39413920543
100,10,greedy,50,52.561025857925415,16,143494.39412004943
100,10,greedy,50,52.561025857925415,17,143494.39409947657
100,10,greedy,50,52.561025857925415,18,201803.41959936303
100,10,greedy,50,52.561025857925415,19,201803.4195508683
100,10,greedy,50,52.561025857925415,20,228606.06757058765
100,10,greedy,50,52.561025857925415,21,261705.91484404742
100,10,greedy,50,52.561025857925415,22,261705.9147954537
100,10,greedy,50,52.561025857925415,23,261705.91472655835
100,10,greedy,50,52.561025857925415,24,247289.40693666606
100,10,greedy,50,52.561025857925415,25,246660.5838344387
100,10,greedy,50,52.561025857925415,26,246660.58377975432
100,10,greedy,50,52.561025857925415,27,245987.01750905463
100,10,greedy,50,52.561025857925415,28,245987.01739781743
100,10,greedy,50,52.561025857925415,29,245987.01728856907
100,10,greedy,50,52.561025857925415,30,246685.05267002492
100,10,greedy,50,52.561025857925415,31,246685.05004369095
100,10,greedy,50,52.561025857925415,32,246685.04999154704
100,10,greedy,50,52.561025857925415,33,245012.17096483472
100,10,greedy,50,52.561025857925415,34,245012.1709180127
100,10,greedy,50,52.561025857925415,35,245012.17086725874
100,10,greedy,50,52.561025857925415,36,245628.01291350767
100,10,greedy,50,52.561025857925415,37,246157.97039565252
100,10,greedy,50,52.561025857925415,38,246157.97034331717
100,10,greedy,50,52.561025857925415,39,246846.96515702267
100,10,greedy,50,52.561025857925415,40,247741.8651736565
100,10,greedy,50,52.561025857925415,41,247741.86512465272
100,10,greedy,50,52.561025857925415,42,247121.78889314597
100,10,greedy,50,52.561025857925415,43,247121.78884102777
100,10,greedy,50,52.561025857925415,44,247121.78879269699
100,10,greedy,50,52.561025857925415,45,250480.27564865834
100,10,greedy,50,52.561025857925415,46,250480.27562244757
100,10,greedy,50,52.561025857925415,47,250480.27560191712
100,10,greedy,50,52.561025857925415,48,250414.6531598816
100,10,greedy,50,52.561025857925415,49,249025.27548477336
100,10,greedy,50,52.561025857925415,50,249025.2753982298
200,10,predictive,50,266.3734550476074,1,79868.14413849326
200,10,predictive,50,266.3734550476074,2,198046.3788289484
200,10,predictive,50,266.3734550476074,3,260625.54356016146
200,10,predictive,50,266.3734550476074,4,364496.7800256409
200,10,predictive,50,266.3734550476074,5,498726.7620758145
200,10,predictive,50,266.3734550476074,6,501140.6958982175
200,10,predictive,50,266.3734550476074,7,500027.5794903901
200,10,predictive,50,266.3734550476074,8,500091.59819848766
200,10,predictive,50,266.3734550476074,9,497900.33287813177
200,10,predictive,50,266.3734550476074,10,494198.11080468
200,10,predictive,50,266.3734550476074,11,494819.6923305476
200,10,predictive,50,266.3734550476074,12,496611.5732365984
200,10,predictive,50,266.3734550476074,13,495087.8332966514
200,10,predictive,50,266.3734550476074,14,494522.06222771126
200,10,predictive,50,266.3734550476074,15,496026.2487077488
200,10,predictive,50,266.3734550476074,16,492147.5573147043
200,10,predictive,50,266.3734550476074,17,493649.3233181296
200,10,predictive,50,266.3734550476074,18,493677.2838938236
200,10,predictive,50,266.3734550476074,19,493677.6908325017
200,10,predictive,50,266.3734550476074,20,493709.3320661083
200,10,predictive,50,266.3734550476074,21,497569.2153067831
200,10,predictive,50,266.3734550476074,22,500096.570524711
200,10,predictive,50,266.3734550476074,23,499299.1635976868
200,10,predictive,50,266.3734550476074,24,497366.4464111019
200,10,predictive,50,266.3734550476074,25,495472.4976613568
200,10,predictive,50,266.3734550476074,26,493042.84099788626
200,10,predictive,50,266.3734550476074,27,494520.89525382005
200,10,predictive,50,266.3734550476074,28,495878.63641849207
200,10,predictive,50,266.3734550476074,29,494756.5027186312
200,10,predictive,50,266.3734550476074,30,496544.9702812865
200,10,predictive,50,266.3734550476074,31,494932.19199696695
200,10,predictive,50,266.3734550476074,32,493793.4511851787
200,10,predictive,50,266.3734550476074,33,494306.3312268963
200,10,predictive,50,266.3734550476074,34,492346.9438855661
200,10,predictive,50,266.3734550476074,35,491487.7035708319
200,10,predictive,50,266.3734550476074,36,493543.1424782024
200,10,predictive,50,266.3734550476074,37,493821.7691985024
200,10,predictive,50,266.3734550476074,38,494412.96840067627
200,10,predictive,50,266.3734550476074,39,495436.70676001033
200,10,predictive,50,266.3734550476074,40,493755.2948353169
200,10,predictive,50,266.3734550476074,41,495234.7673071882
200,10,predictive,50,266.3734550476074,42,496102.42730282655
200,10,predictive,50,266.3734550476074,43,496488.96702871716
200,10,predictive,50,266.3734550476074,44,496753.379749629
200,10,predictive,50,266.3734550476074,45,498935.81557760254
200,10,predictive,50,266.3734550476074,46,499270.4497029455
200,10,predictive,50,266.3734550476074,47,498263.3931139467
200,10,predictive,50,266.3734550476074,48,496006.1969286086
200,10,predictive,50,266.3734550476074,49,494290.7943859203
200,10,predictive,50,266.3734550476074,50,493895.29475257965
200,10,greedy,50,52.71651840209961,1,20480.157303126573
200,10,greedy,50,52.71651840209961,2,20480.157400049284
200,10,greedy,50,52.71651840209961,3,20480.15749494938
200,10,greedy,50,52.71651840209961,4,20480.157586280187
200,10,greedy,50,52.71651840209961,5,20480.157651420413
200,10,greedy,50,52.71651840209961,6,20480.157716165908
200,10,greedy,50,52.71651840209961,7,20480.157760990816
