num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time
100,10,predictive,100,124.80080485343933,1,15052.242535712827
100,10,predictive,100,124.80080485343933,2,15052.223452180151
100,10,predictive,100,124.80080485343933,3,15052.20136605675
100,10,predictive,100,124.80080485343933,4,15052.195781587163
100,10,predictive,100,124.80080485343933,5,136252.20102631114
100,10,predictive,100,124.80080485343933,6,136252.23281344562
100,10,predictive,100,124.80080485343933,7,136252.25906473264
100,10,predictive,100,124.80080485343933,8,136252.273679412
100,10,predictive,100,124.80080485343933,9,136252.28658822543
100,10,predictive,100,124.80080485343933,10,46102.29789829837
100,10,predictive,100,124.80080485343933,11,46102.30917729059
100,10,predictive,100,124.80080485343933,12,46102.30422016569
100,10,predictive,100,124.80080485343933,13,46102.311620039574
100,10,predictive,100,124.80080485343933,14,46102.329623880934
100,10,predictive,100,124.80080485343933,15,45052.358736550996
100,10,predictive,100,124.80080485343933,16,45052.3940487975
100,10,predictive,100,124.80080485343933,17,45052.41878750028
100,10,predictive,100,124.80080485343933,18,45052.44537203176
100,10,predictive,100,124.80080485343933,19,45052.46242910096
100,10,predictive,100,124.80080485343933,20,45052.471928574414
100,10,predictive,100,124.80080485343933,21,45052.43507158138
100,10,predictive,100,124.80080485343933,22,45052.406736258774
100,10,predictive,100,124.80080485343933,23,45052.36653863406
100,10,predictive,100,124.80080485343933,24,45052.341692768365
100,10,predictive,100,124.80080485343933,25,46102.30987598096
100,10,predictive,100,124.80080485343933,26,46102.27197104772
100,10,predictive,100,124.80080485343933,27,46102.2357787189
100,10,predictive,100,124.80080485343933,28,46102.20207312005
100,10,predictive,100,124.80080485343933,29,46102.17105068056
100,10,predictive,100,124.80080485343933,30,45952.16068558386
100,10,predictive,100,124.80080485343933,31,45952.15347614321
100,10,predictive,100,124.80080485343933,32,45952.14902053969
100,10,predictive,100,124.80080485343933,33,45952.1456120323
100,10,predictive,100,124.80080485343933,34,45952.140066791035
100,10,predictive,100,124.80080485343933,35,45052.13389225999
100,10,predictive,100,124.80080485343933,36,45052.137590384365
100,10,predictive,100,124.80080485343933,37,45052.14060189703
100,10,predictive,100,124.80080485343933,38,45052.141399078435
100,10,predictive,100,124.80080485343933,39,45052.13190859533
100,10,predictive,100,124.80080485343933,40,45052.120024094955
100,10,predictive,100,124.80080485343933,41,45052.11517669544
100,10,predictive,100,124.80080485343933,42,45052.1140219338
100,10,predictive,100,124.80080485343933,43,45052.11565602927
100,10,predictive,100,124.80080485343933,44,45052.121871664574
100,10,predictive,100,124.80080485343933,45,45052.128330524174
100,10,predictive,100,124.80080485343933,46,45052.12586887452
100,10,predictive,100,124.80080485343933,47,45052.109169876065
100,10,predictive,100,124.80080485343933,48,45052.0950587987
100,10,predictive,100,124.80080485343933,49,45052.0753620831
100,10,predictive,100,124.80080485343933,50,45052.05496796077
100,10,predictive,100,124.80080485343933,51,45052.02834707549
100,10,predictive,100,124.80080485343933,52,45051.999016762216
100,10,predictive,100,124.80080485343933,53,45051.97396366861
100,10,predictive,100,124.80080485343933,54,45051.950324057914
100,10,predictive,100,124.80080485343933,55,45051.925822517915
100,10,predictive,100,124.80080485343933,56,45051.901542410546
100,10,predictive,100,124.80080485343933,57,45051.88821412218
100,10,predictive,100,124.80080485343933,58,45051.89151031867
100,10,predictive,100,124.80080485343933,59,45051.912218919104
100,10,predictive,100,124.80080485343933,60,45051.94069533654
100,10,predictive,100,124.80080485343933,61,45051.960557146725
100,10,predictive,100,124.80080485343933,62,45051.9779899812
100,10,predictive,100,124.80080485343933,63,45051.993313008345
100,10,predictive,100,124.80080485343933,64,45052.01590551031
100,10,predictive,100,124.80080485343933,65,45052.031879267975
100,10,predictive,100,124.80080485343933,66,45052.04737380837
100,10,predictive,100,124.80080485343933,67,45052.068846757655
100,10,predictive,100,124.80080485343933,68,45052.076648737544
100,10,predictive,100,124.80080485343933,69,45052.05710902082
100,10,predictive,100,124.80080485343933,70,45052.026663024786
100,10,predictive,100,124.80080485343933,71,45051.98843693111
100,10,predictive,100,124.80080485343933,72,45051.950999257904
100,10,predictive,100,124.80080485343933,73,45051.91566640818
100,10,predictive,100,124.80080485343933,74,45051.89465070523
100,10,predictive,100,124.80080485343933,75,45051.88356779465
100,10,predictive,100,124.80080485343933,76,45051.86533854094
100,10,predictive,100,124.80080485343933,77,45051.84607597674
100,10,predictive,100,124.80080485343933,78,45051.82749856194
100,10,predictive,100,124.80080485343933,79,45051.80955899494
100,10,predictive,100,124.80080485343933,80,45051.78446532782
100,10,predictive,100,124.80080485343933,81,45051.751906598125
100,10,predictive,100,124.80080485343933,82,45051.72668952169
100,10,predictive,100,124.80080485343933,83,45051.708458877605
100,10,predictive,100,124.80080485343933,84,45051.70545960447
100,10,predictive,100,124.80080485343933,85,45051.70667856553
100,10,predictive,100,124.80080485343933,86,45051.702740289904
100,10,predictive,100,124.80080485343933,87,45051.70149817631
100,10,predictive,100,124.80080485343933,88,45051.69885777293
100,10,predictive,100,124.80080485343933,89,45051.69213399393
100,10,predictive,100,124.80080485343933,90,45051.678600942076
100,10,predictive,100,124.80080485343933,91,45051.64507317071
100,10,predictive,100,124.80080485343933,92,45051.61803578476
100,10,predictive,100,124.80080485343933,93,45051.5819591774
100,10,predictive,100,124.80080485343933,94,45051.543957772934
100,10,predictive,100,124.80080485343933,95,45051.51161655691
100,10,predictive,100,124.80080485343933,96,45051.493198928154
100,10,predictive,100,124.80080485343933,97,45051.477568738184
100,10,predictive,100,124.80080485343933,98,45051.46145599977
100,10,predictive,100,124.80080485343933,99,45051.45662712215
100,10,predictive,100,124.80080485343933,100,45051.45687579337
100,10,greedy,100,102.82506370544434,1,15052.242535712827
100,10,greedy,100,102.82506370544434,2,15052.223452180151
100,10,greedy,100,102.82506370544434,3,15052.20136605675
100,10,greedy,100,102.82506370544434,4,15052.195781587163
100,10,greedy,100,102.82506370544434,5,136252.20102631114
100,10,greedy,100,102.82506370544434,6,136252.23281344562
100,10,greedy,100,102.82506370544434,7,136252.25906473264
100,10,greedy,100,102.82506370544434,8,136252.273679412
100,10,greedy,100,102.82506370544434,9,136252.28658822543
100,10,greedy,100,102.82506370544434,10,46102.29789829837
100,10,greedy,100,102.82506370544434,11,46102.30917729059
100,10,greedy,100,102.82506370544434,12,46102.30422016569
100,10,greedy,100,102.82506370544434,13,46102.311620039574
100,10,greedy,100,102.82506370544434,14,46102.329623880934
100,10,greedy,100,102.82506370544434,15,45052.358736550996
100,10,greedy,100,102.82506370544434,16,45052.3940487975
100,10,greedy,100,102.82506370544434,17,45052.41878750028
100,10,greedy,100,102.82506370544434,18,45052.44537203176
100,10,greedy,100,102.82506370544434,19,45052.46242910096
100,10,greedy,100,102.82506370544434,20,45052.471928574414
100,10,greedy,100,102.82506370544434,21,45052.43507158138
100,10,greedy,100,102.82506370544434,22,45052.406736258774
100,10,greedy,100,102.82506370544434,23,45052.36653863406
100,10,greedy,100,102.82506370544434,24,45052.341692768365
100,10,greedy,100,102.82506370544434,25,46102.30987598096
100,10,greedy,100,102.82506370544434,26,46102.27197104772
100,10,greedy,100,102.82506370544434,27,46102.2357787189
100,10,greedy,100,102.82506370544434,28,46102.20207312005
100,10,greedy,100,102.82506370544434,29,46102.17105068056
100,10,greedy,100,102.82506370544434,30,45952.16068558386
100,10,greedy,100,102.82506370544434,31,45952.15347614321
100,10,greedy,100,102.82506370544434,32,45952.14902053969
100,10,greedy,100,102.82506370544434,33,45952.1456120323
100,10,greedy,100,102.82506370544434,34,45952.140066791035
100,10,greedy,100,102.82506370544434,35,45052.13389225999
100,10,greedy,100,102.82506370544434,36,45052.137590384365
100,10,greedy,100,102.82506370544434,37,45052.14060189703
100,10,greedy,100,102.82506370544434,38,45052.141399078435
100,10,greedy,100,102.82506370544434,39,45052.13190859533
100,10,greedy,100,102.82506370544434,40,45052.120024094955
100,10,greedy,100,102.82506370544434,41,45052.11517669544
100,10,greedy,100,102.82506370544434,42,45052.1140219338
100,10,greedy,100,102.82506370544434,43,45052.11565602927
100,10,greedy,100,102.82506370544434,44,45052.121871664574
100,10,greedy,100,102.82506370544434,45,45052.128330524174
100,10,greedy,100,102.82506370544434,46,45052.12586887452
100,10,greedy,100,102.82506370544434,47,45052.109169876065
100,10,greedy,100,102.82506370544434,48,45052.0950587987
100,10,greedy,100,102.82506370544434,49,45052.0753620831
100,10,greedy,100,102.82506370544434,50,45052.05496796077
100,10,greedy,100,102.82506370544434,51,45052.02834707549
100,10,greedy,100,102.82506370544434,52,45051.999016762216
100,10,greedy,100,102.82506370544434,53,45051.97396366861
100,10,greedy,100,102.82506370544434,54,45051.950324057914
100,10,greedy,100,102.82506370544434,55,45051.925822517915
100,10,greedy,100,102.82506370544434,56,45051.901542410546
100,10,greedy,100,102.82506370544434,57,45051.88821412218
100,10,greedy,100,102.82506370544434,58,45051.89151031867
100,10,greedy,100,102.82506370544434,59,45051.912218919104
100,10,greedy,100,102.82506370544434,60,45051.94069533654
100,10,greedy,100,102.82506370544434,61,45051.960557146725
100,10,greedy,100,102.82506370544434,62,45051.9779899812
100,10,greedy,100,102.82506370544434,63,45051.993313008345
100,10,greedy,100,102.82506370544434,64,45052.01590551031
100,10,greedy,100,102.82506370544434,65,45052.031879267975
100,10,greedy,100,102.82506370544434,66,45052.04737380837
100,10,greedy,100,102.82506370544434,67,45052.068846757655
100,10,greedy,100,102.82506370544434,68,45052.076648737544
100,10,greedy,100,102.82506370544434,69,45052.05710902082
100,10,greedy,100,102.82506370544434,70,45052.026663024786
100,10,greedy,100,102.82506370544434,71,45051.98843693111
100,10,greedy,100,102.82506370544434,72,45051.950999257904
100,10,greedy,100,102.82506370544434,73,45051.91566640818
100,10,greedy,100,102.82506370544434,74,45051.89465070523
100,10,greedy,100,102.82506370544434,75,45051.88356779465
100,10,greedy,100,102.82506370544434,76,45051.86533854094
100,10,greedy,100,102.82506370544434,77,45051.84607597674
100,10,greedy,100,102.82506370544434,78,45051.82749856194
100,10,greedy,100,102.82506370544434,79,45051.80955899494
100,10,greedy,100,102.82506370544434,80,45051.78446532782
100,10,greedy,100,102.82506370544434,81,45051.751906598125
100,10,greedy,100,102.82506370544434,82,45051.72668952169
