num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count
100,50,predictive,300,328.33354234695435,1,15042.41045365682,0.0,0.0,15042.41045365682,0,0,100
100,50,predictive,300,328.33354234695435,2,15042.480692454541,0.0,0.0,15042.480692454541,0,0,100
100,50,predictive,300,328.33354234695435,3,15042.608777858903,0.0,0.0,15042.608777858903,0,0,100
100,50,predictive,300,328.33354234695435,4,15042.769744867803,0.0,0.0,15042.769744867803,0,0,100
100,50,predictive,300,328.33354234695435,5,148542.93301791622,0.0,148542.93301791622,0.0,0,100,0
100,50,predictive,300,328.33354234695435,6,148543.09268216335,0.0,148543.09268216335,0.0,0,100,0
100,50,predictive,300,328.33354234695435,7,148543.24842440765,0.0,148543.24842440765,0.0,0,100,0
100,50,predictive,300,328.33354234695435,8,148543.41043585126,0.0,148543.41043585126,0.0,0,100,0
100,50,predictive,300,328.33354234695435,9,148543.5715113161,0.0,148543.5715113161,0.0,0,100,0
100,50,predictive,300,328.33354234695435,10,45043.700549112094,45043.700549112094,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,11,45043.79136131731,45043.79136131731,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,12,45043.882890967245,45043.882890967245,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,13,45043.97531985288,45043.97531985288,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,14,45044.07546366845,45044.07546366845,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,15,45044.155769784076,45044.155769784076,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,16,45044.23545992831,45044.23545992831,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,17,45044.33616654047,45044.33616654047,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,18,45044.44609868184,45044.44609868184,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,19,45044.56496743442,45044.56496743442,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,20,45044.663109355184,45044.663109355184,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,21,45044.738693850035,45044.738693850035,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,22,45044.824459588584,45044.824459588584,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,23,45044.934014538754,45044.934014538754,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,24,45045.03425049619,45045.03425049619,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,25,45042.90944431867,45042.90944431867,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,26,45042.97613783962,45042.97613783962,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,27,45043.029441106504,45043.029441106504,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,28,45043.09325574563,45043.09325574563,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,29,45043.17588856411,45043.17588856411,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,30,45043.256872752034,45043.256872752034,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,31,45043.334338611305,45043.334338611305,0.0,0.0,100,0,0
100,50,predictive,300,328.33354234695435,32,45043.40319251863,45043.40319251863,0.0,0.0,100,0,0
