num_users,num_edges,algorithm,experiment_duration,total_experiment_time,timestep,total_turnaround_time,total_turnaround_time_warm,total_turnaround_time_cold,total_turnaround_time_unknown,warm_count,cold_count,unknown_count
100,10,predictive,100,116.10904669761658,1,15045.140465308481,0.0,0.0,15045.140465308481,0,0,100
100,10,predictive,100,116.10904669761658,2,15045.19917343905,0.0,0.0,15045.19917343905,0,0,100
100,10,predictive,100,116.10904669761658,3,15045.274614283995,0.0,0.0,15045.274614283995,0,0,100
100,10,predictive,100,116.10904669761658,4,15045.379012837257,0.0,0.0,15045.379012837257,0,0,100
100,10,predictive,100,116.10904669761658,5,145695.48641451984,0.0,145695.48641451984,0.0,0,100,0
100,10,predictive,100,116.10904669761658,6,145695.58189939268,0.0,145695.58189939268,0.0,0,100,0
100,10,predictive,100,116.10904669761658,7,145695.67445265077,0.0,145695.67445265077,0.0,0,100,0
100,10,predictive,100,116.10904669761658,8,145695.780926254,0.0,145695.780926254,0.0,0,100,0
100,10,predictive,100,116.10904669761658,9,145695.89234098382,0.0,145695.89234098382,0.0,0,100,0
100,10,predictive,100,116.10904669761658,10,45045.98510574375,45045.98510574375,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,11,45046.073825717634,45046.073825717634,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,12,45046.170687732345,45046.170687732345,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,13,45046.27454645936,45046.27454645936,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,14,45046.38836489978,45046.38836489978,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,15,45046.47961949546,45046.47961949546,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,16,45046.558801737,45046.558801737,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,17,45046.65107642792,45046.65107642792,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,18,45046.74408628588,45046.74408628588,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,19,45046.839891240896,45046.839891240896,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,20,45046.93211519566,45046.93211519566,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,21,45047.007245368724,45047.007245368724,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,22,45047.089679172816,45047.089679172816,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,23,45047.19847320488,45047.19847320488,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,24,45047.292706906796,45047.292706906796,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,25,45046.695104954546,45046.695104954546,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,26,45046.69763650288,45046.69763650288,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,27,45046.6859862402,45046.6859862402,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,28,45046.68106989599,45046.68106989599,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,29,45046.6892215394,45046.6892215394,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,30,45046.69568490482,45046.69568490482,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,31,45046.7064126274,45046.7064126274,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,32,45046.712226596275,45046.712226596275,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,33,45046.74320374497,45046.74320374497,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,34,45046.76839416155,45046.76839416155,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,35,45046.21691757079,45046.21691757079,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,36,45046.26646598186,45046.26646598186,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,37,45046.3420841158,45046.3420841158,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,38,45046.413149649314,45046.413149649314,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,39,45046.48707456814,45046.48707456814,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,40,45046.56108845583,45046.56108845583,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,41,45046.61485918902,45046.61485918902,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,42,45046.66666540997,45046.66666540997,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,43,45046.72705966203,45046.72705966203,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,44,45046.7975046239,45046.7975046239,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,45,45046.33533109859,45046.33533109859,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,46,45046.36693475999,45046.36693475999,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,47,45046.399528121656,45046.399528121656,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,48,45046.42692887042,45046.42692887042,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,49,45046.4552137709,45046.4552137709,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,50,45046.480558352465,45046.480558352465,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,51,45046.5028329583,45046.5028329583,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,52,45046.5249689391,45046.5249689391,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,53,45046.54395295918,45046.54395295918,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,54,45046.56548105295,45046.56548105295,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,55,45046.44551765625,45046.44551765625,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,56,45046.44612457703,45046.44612457703,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,57,45046.447606341346,45046.447606341346,0.0,0.0,100,0,0
100,10,predictive,100,116.10904669761658,58,45046.466448704516,45046.466448704516,0.0,0.0,100,0,0
